,open,high,low,close,volume
20210607,90100,92400,89600,92100,18548
20210604,90200,91100,89600,90100,19730
20210603,91700,92100,91100,91400,25770
20210602,92100,94400,91700,92200,27286
20210601,93800,95300,93800,94000,17332
20210531,93000,95200,92800,93800,29136
20210528,94200,94500,93200,94500,21105
20210527,92400,94200,92000,93400,21656
20210526,95300,95600,92400,92400,30478
20210525,91500,94600,91000,93700,34763
20210524,88000,91900,87500,91500,22960
20210521,89100,91000,88200,89000,35784
20210520,93500,93700,88400,88900,70969
20210518,91700,95200,90700,94500,51356
20210517,93600,93900,91500,92000,33804
20210514,88200,95600,87800,93600,120000
20210513,84700,89300,84400,88800,72843
20210512,88500,89300,85700,86700,44613
20210511,84000,89800,83100,89300,124670
20210510,80400,85000,80200,85000,150970
20210507,78900,79500,78600,79100,29019
20210506,78300,79300,77700,79000,24946
20210504,77900,78600,77100,77800,16715
20210503,79300,79300,77900,78000,18990
20210430,79200,80000,78100,78800,33565
20210429,78900,79800,78700,79800,24492
20210428,79300,79900,78200,78900,36129
20210427,79900,80100,79100,79600,32788
20210426,80300,80300,79300,79600,32460
20210423,80500,80500,79500,80000,25386
20210422,80800,80900,80000,80100,29253
20210421,81000,81200,80300,80800,32539
20210420,81000,81700,81000,81200,26351
20210419,81100,81800,80700,81500,15109
20210416,82000,82000,80800,81600,22308
20210415,80300,82100,80300,82000,33903
20210414,81000,81300,80100,80800,21619
20210413,81300,81400,80800,81200,21899
20210412,79900,81000,79900,81000,15189
20210409,80000,80300,79900,80300,13200
20210408,79600,80500,79600,80200,14763
20210407,79800,80400,79600,79800,22751
20210406,79800,81200,79700,80000,18796
20210405,80300,80700,79300,80400,13003
20210402,81000,81400,79500,80200,20567
20210401,81000,81900,80600,81300,33302
20210331,79600,81000,79400,80900,30588
20210330,79500,80100,79300,80000,25687
20210329,80000,80200,79000,79200,18797
20210326,80300,80800,80000,80000,21870
20210325,79200,80300,79100,80300,25669
20210324,79900,80100,78600,79800,15964
20210323,80000,80400,79400,80000,22082
20210322,78800,80200,78200,80200,33069
20210319,77600,78700,77200,78700,24465
20210318,78100,78300,77600,78300,27939
20210317,78000,78200,77300,77700,10653
20210316,78000,78300,77600,78000,29644
20210315,77500,77900,77000,77400,19448
20210312,77400,77800,77100,77500,17553
20210311,77900,78300,77300,77300,32132
20210310,77700,78100,77200,78000,17420
20210309,77200,78000,76200,77700,37667
20210308,77000,77700,76400,76600,22419
20210305,77900,77900,76300,76900,44318
20210304,78200,78900,77600,77900,24673
20210303,79200,79700,78500,79300,33324
20210302,78800,79800,78000,79200,28575
20210226,79300,79600,77500,79500,29353
20210225,78200,79900,78200,79600,24620
20210224,79100,79800,78000,78100,31570
20210223,78000,79100,78000,78500,25004
20210222,79000,79500,78200,78500,18699
20210219,79500,79900,78000,79000,27429
20210218,79800,80600,79500,79500,20642
20210217,80200,80600,79200,79800,25519
20210216,80700,81100,80100,80700,18347
20210215,82000,82000,80600,80600,35098
20210210,82300,82300,80200,81600,24383
20210209,83300,83500,81000,81400,36573
20210208,83000,83500,81600,82100,33830
20210205,80600,82800,80200,82800,34246
20210204,81100,81400,79700,80600,24806
20210203,81300,81900,80200,80600,27445
20210202,79900,81900,79400,81300,37338
20210201,79000,80700,78600,80300,22993
20210129,81200,82100,77600,79200,43867
20210128,82400,82400,81000,81300,42287
20210127,82500,84300,82500,83800,63923
20210126,83700,84500,81500,81800,56688
20210125,85000,86000,83700,83700,54164
20210122,84200,85700,82900,84300,94105
20210121,81000,84500,81000,84200,121787
20210120,79900,80800,79400,80800,39269
20210119,79200,81300,79200,79900,48615
20210118,80000,80500,78500,78600,49895
20210115,81600,82000,79900,80100,52139
20210114,81100,81500,80500,81100,34080
20210113,81500,81700,80500,81000,50063
20210112,79600,81200,78300,80700,74557
20210111,80300,80400,77900,78700,76331
20210108,79700,80700,79400,80400,62982
20210107,79700,80400,79000,79400,43258
20210106,79400,80700,78600,78700,57984
20210105,80400,80400,78900,80000,42673
20210104,80800,80900,79000,79500,66217
20201230,81700,81800,81000,81500,28077
20201229,81300,82500,80800,81400,26886
20201228,83300,83600,81700,82600,32252
20201224,81400,83800,81300,83600,22911
20201223,81700,82600,81000,81300,24959
