,open,high,low,close,volume
20210906,940862,947780,935920,942838,38951
20210903,937897,949756,936908,939873,54139
20210902,950745,950745,936908,936908,57675
20210901,954698,957663,944815,950745,68436
20210831,929990,953710,928014,953710,130365
20210830,940862,942838,920107,935920,86383
20210827,935920,942838,931967,935920,76166
20210826,952721,953710,934932,942838,101264
20210825,951733,959639,924061,951733,201298
20210824,1001148,1002136,933944,944815,323474
20210823,983359,1002136,979405,997195,133810
20210820,969522,992253,964581,974464,146967
20210819,972487,992253,960628,963593,147663
20210818,1005101,1034750,972487,981382,240246
20210817,982370,1008066,978417,1000160,326404
20210813,966557,978417,954698,971499,149132
20210812,954698,975452,943827,960628,153800
20210811,945803,968534,931967,963593,280698
20210810,909236,972487,904295,935920,529822
20210809,905283,908248,895400,898365,64756
20210806,916154,918131,905283,908248,92021
20210805,897376,927025,896388,901330,188733
20210804,899353,902318,881564,892435,82805
20210803,902318,906271,892435,898365,62298
20210802,887493,904295,884529,902318,77848
20210730,902318,902318,878599,879587,95793
20210729,901330,909236,892435,900341,83343
20210728,886505,906271,886505,895400,159143
20210727,891447,904295,886505,897376,120638
20210726,887493,909236,879587,883540,120879
20210723,869704,889470,864763,882552,74474
20210722,887493,898365,872669,873657,108775
20210721,904295,904295,875634,890458,126093
20210720,903306,921096,889470,902318,127561
20210719,890458,913189,880575,905283,186154
20210716,866739,893423,863774,888482,236744
20210715,855868,867727,854880,863774,84285
20210714,855868,857844,848950,853891,45174
20210713,859821,860809,847961,854880,50923
20210712,853891,859821,846973,859821,58963
20210709,852903,866739,838078,846973,111983
20210708,841043,858833,840055,852903,151451
20210707,840055,848950,835114,835114,63970
20210706,853891,854880,840055,840055,71016
20210705,846973,865751,840055,856856,148196
20210702,844008,849938,839067,844997,44009
20210701,835114,849938,828195,844997,108015
20210630,836102,840055,831160,831160,51888
20210629,832149,844997,829184,836102,51116
20210628,840055,844008,833137,833137,49216
20210625,844997,850926,834125,839067,61297
20210624,847961,853891,839067,844997,71520
20210623,839067,854880,837090,846973,126270
20210622,840055,841043,830172,836102,67000
20210621,818312,845985,817324,844008,80602
20210618,821277,830172,820289,826219,60032
20210617,818312,830172,817324,823254,55089
20210616,829184,829184,822266,823254,71462
20210615,840055,840055,831160,832149,51774
20210614,836102,844997,835114,843020,61020
20210611,849938,849938,835114,835114,76950
20210610,825231,851915,821277,844997,136588
20210609,846973,850926,824242,824242,119039
20210608,869704,870692,842032,844997,270699
20210607,842032,845985,830172,832149,93671
20210604,809418,832149,808429,830172,105547
20210603,812383,818312,801511,814359,89084
20210602,823254,826219,806453,808429,128916
20210601,854880,862786,819301,822266,210283
20210531,818312,836102,817324,835114,120523
20210528,807441,824242,807441,817324,119958
20210527,814359,822266,796570,807441,218035
20210526,840055,844997,822266,825231,145037
20210525,847961,853891,826219,840055,208426
20210524,869704,895400,847961,847961,513258
20210521,876622,877610,843020,850926,227026
20210520,885517,889470,857844,880575,222912
20210518,877610,906271,864763,883540,404175
20210517,919119,921096,863774,863774,552811
20210514,890458,936908,855868,936908,1022552
20210513,834125,894412,833137,855868,610731
20210512,828195,853891,817324,845985,794795
20210511,805465,808429,791628,807441,91766
20210510,796570,814359,794593,806453,88392
20210507,775816,818312,775816,794593,195167
20210506,751108,779769,743202,773839,94041
20210504,758026,762968,736284,755061,98553
20210503,794593,794593,758026,763956,108378
20210430,785699,805465,784710,794593,66574
20210429,785699,799535,785699,790640,68366
20210428,794593,801511,781745,781745,74850
20210427,809418,813371,797558,797558,53928
20210426,800523,811394,795582,809418,64827
20210423,795582,806453,785699,802500,74351
20210422,811394,817324,794593,795582,144230
20210421,820289,835114,810406,823254,126344
20210420,825231,839067,820289,827207,110047
20210419,827207,856856,812383,820289,454252
20210416,805465,824242,786687,821277,211199
20210415,780757,805465,772851,796570,151421
20210414,774827,788663,774827,780757,82331
20210413,774827,777792,766921,774827,63721
20210412,761979,775816,757038,772851,77708
20210409,754073,762968,749131,760991,51018
20210408,751108,760991,748143,754073,44306
20210407,745178,769886,736284,756050,104813
20210406,737272,746167,734307,745178,55846
20210405,732330,742213,717506,741225,72957
20210402,739248,743202,731342,735295,46921
20210401,735295,744190,733319,738260,57706
20210331,740237,751108,735295,739248,53219
20210330,742213,743202,732330,738260,35114
20210329,717506,739248,712564,739248,83884
20210326,711576,726401,709599,716518,52728
20210325,704658,716518,701693,709599,40838
20210324,696752,708611,696752,707623,39337
20210323,710588,723436,703670,704658,62903
20210322,706635,709599,697740,706635,39938
20210319,698728,708611,696752,699716,72226
20210318,720471,724424,713553,713553,64453
20210317,725412,726401,705646,710588,79627
20210316,741225,741225,724424,724424,62328
20210315,731342,733319,715529,726401,60316
20210312,716518,747155,715529,734307,130561
20210311,676986,712564,676986,706635,111762
20210310,690822,694775,676986,676986,66250
20210309,677974,693787,671056,678962,172474
20210308,714541,714541,686869,687857,115946
20210305,726401,730354,704658,710588,142306
20210304,741225,747155,738260,739248,88923
20210303,742213,752096,739248,752096,57291
20210302,748143,762968,739248,744190,84470
20210226,754073,755061,741225,741225,126469
20210225,745178,769886,739248,765933,82559
20210224,748143,760991,736284,738260,126585
20210223,763956,764944,746167,751108,139941
20210222,783722,784710,769886,770874,77958
20210219,775816,783722,769886,783722,82578
20210218,774827,784710,773839,773839,63633
20210217,783722,783722,768897,776804,133043
20210216,791628,793605,784710,786687,89794
20210215,794593,795582,789652,790640,71229
20210210,796570,797558,785699,789652,83446
20210209,795582,800523,792617,792617,60138
20210208,801511,809418,793605,794593,68346
20210205,803488,807441,796570,802500,67912
20210204,811394,812383,796570,803488,98965
20210203,822266,824242,803488,815348,115359
20210202,807441,819301,796570,816336,138535
20210201,791628,806453,785699,803488,140308
20210129,834125,834125,782734,783722,279939
20210128,820289,836102,806453,828195,236004
20210127,819301,842032,798546,839067,660141
20210126,785699,817324,783722,792617,281019
20210125,781745,788663,776804,780757,119033
20210122,789652,794593,779769,784710,119039
20210121,785699,792617,783722,786687,86048
20210120,790640,794593,776804,785699,99440
20210119,776804,797558,765933,786687,139347
20210118,783722,801511,776804,778780,165800
20210115,810406,814359,794593,794593,143743
20210114,818312,818312,800523,806453,165568
20210113,804476,822266,792617,820289,210203
20210112,837090,851915,796570,808429,292536
20210111,831160,872669,814359,836102,566754
20210108,811394,830172,805465,827207,266984
20210107,814359,814359,806453,809418,117859
20210106,818312,827207,806453,807441,147600
20210105,815348,824242,808429,822266,121331
20210104,809418,828195,794593,819301,185029
20201230,818312,823254,806453,816336,151800
20201229,798546,817324,788663,812383,225341
20201228,787675,795582,778780,779769,192429
20201224,788663,792617,778780,784710,114696
20201223,798546,800523,785699,786687,120502
20201222,814359,816336,790640,793605,108489
20201221,792617,818312,787675,813371,189238
20201218,794593,798546,790640,792617,67787
20201217,794593,795582,788663,794593,70108
20201216,791628,806453,784710,797558,109286
20201215,805465,805465,786687,790640,116997
20201214,808429,809418,800523,802500,84454
20201211,816336,818312,805465,810406,87799
20201210,799535,820289,794593,809418,166178
20201209,821277,828195,801511,812383,195475
20201208,861798,862786,818312,818312,405727
20201207,823254,869704,817324,869704,513220
20201204,792617,818312,788663,815348,305430
20201203,776804,795582,772851,795582,145493
20201202,786687,786687,767909,780757,148289
20201201,784710,789652,776804,783722,77240
20201130,795582,802500,776804,776804,160386
20201127,789652,797558,786687,789652,89688
20201126,797558,798546,787675,789652,80867
20201125,788663,823254,786687,793605,236076
20201124,796570,796570,782734,792617,126659
20201123,795582,804476,792617,794593,103860
20201120,797558,797558,782734,789652,121596
20201119,806453,816336,795582,798546,185583
20201118,777792,807441,775816,802500,408740
20201117,752096,767909,748143,764944,205056
20201116,754073,756050,744190,749131,75258
